Wavelength,SPD
380,0.0052343190151
381,0.00463304334229
382,0.00452337187469
383,0.00749600534432
384,0.0071899988095
385,0.00874303856785
386,0.0047166391764
387,0.00481864125491
388,0.00771304722551
389,0.00583329381909
390,0.00832505999588
391,0.00669609355027
392,0.00450496587251
393,0.00392976589024
394,0.00566073387286
395,0.00647138228
396,0.0089815547012
397,0.0103988470592
398,0.0113429420549
399,0.0152259246569
400,0.0179140256017
401,0.0238977184606
402,0.0323655078641
403,0.0407862739793
404,0.0573322509598
405,0.0731989082772
406,0.0955249971692
407,0.12610296707
408,0.158008131431
409,0.206485211665
410,0.259230171689
411,0.316897149073
412,0.396925333859
413,0.475298660317
414,0.575642035353
415,0.680108546241
416,0.786286588826
417,0.94327136802
418,1.10802692093
419,1.29567411258
420,1.49721942759
421,1.70185040093
422,1.93452718178
423,2.17389253671
424,2.4001697067
425,2.59442525233
426,2.79016827114
427,2.90664611095
428,3.00104911903
429,3.09586662541
430,3.08298669133
431,3.04414818594
432,2.95374019999
433,2.81895491834
434,2.67812658101
435,2.50062133447
436,2.3328701618
437,2.17188329345
438,2.03450771096
439,1.90421894573
440,1.81731982615
441,1.74276106198
442,1.69725782412
443,1.67887586219
444,1.67448132962
445,1.69736056672
446,1.74537712503
447,1.82204732233
448,1.92733339957
449,2.04746038939
450,2.18761795811
451,2.32278460232
452,2.44611076029
453,2.5577621914
454,2.63610122861
455,2.66732772052
456,2.65328732313
457,2.57620282388
458,2.46787210678
459,2.32001316532
460,2.15938429117
461,1.99643965746
462,1.84263913367
463,1.70611095082
464,1.58646181193
465,1.48675459511
466,1.4080025331
467,1.3476328145
468,1.2950345205
469,1.25684654427
470,1.21225525018
471,1.16461948419
472,1.11506787202
473,1.0630280315
474,1.01544153068
475,0.967797233109
476,0.926753149021
477,0.890939240121
478,0.857931896741
479,0.829027954075
480,0.813025071543
481,0.805318196274
482,0.808924453348
483,0.815932013301
484,0.831095367791
485,0.857260131492
486,0.887239278522
487,0.919752279417
488,0.95892457144
489,1.00056114307
490,1.05894872897
491,1.11606494582
492,1.18351990868
493,1.25933142947
494,1.33876346817
495,1.43203695999
496,1.52119630209
497,1.62783907032
498,1.73290992276
499,1.85368282106
500,1.98623977663
501,2.12066607989
502,2.28939576192
503,2.46146922633
504,2.63765247454
505,2.81578048218
506,2.99288997969
507,3.19766148206
508,3.3996001061
509,3.60083017457
510,3.80733501191
511,3.99272082413
512,4.20328992307
513,4.41632569652
514,4.59815788345
515,4.78056324394
516,4.93243793915
517,5.08744728389
518,5.2122144563
519,5.30707219051
520,5.40083789123
521,5.43612848487
522,5.44397481578
523,5.45100113462
524,5.40162518308
525,5.34768830305
526,5.30029617832
527,5.217697042
528,5.11190606917
529,5.00506458062
530,4.86573137897
531,4.75568849415
532,4.61931700479
533,4.48033287121
534,4.3139792677
535,4.174063471
536,4.03401908128
537,3.88278028981
538,3.75241090574
539,3.6205900607
540,3.50073458014
541,3.37834153426
542,3.26199110854
543,3.14170620182
544,3.03391766407
545,2.93011882289
546,2.82762067726
547,2.73403835265
548,2.64349324352
549,2.55528358198
550,2.46672937087
551,2.38577557825
552,2.31386816867
553,2.24001218883
554,2.17326493197
555,2.10301770263
556,2.04177755908
557,1.97940414191
558,1.92009053313
559,1.85778146785
560,1.80422255584
561,1.76795255193
562,1.73307276884
563,1.69196325811
564,1.64891480125
565,1.61242840688
566,1.57656640956
567,1.5428439492
568,1.51248340145
569,1.48407468616
570,1.45318084223
571,1.42962405104
572,1.40505694552
573,1.3800964269
574,1.35870356413
575,1.33575977984
576,1.32065347742
577,1.294726518
578,1.27307575762
579,1.26139455353
580,1.24547011437
581,1.23443069499
582,1.21946185345
583,1.21013349332
584,1.20121622325
585,1.18345728095
586,1.15741593355
587,1.14367126556
588,1.13467068335
589,1.12782975008
590,1.11361856976
591,1.1011436677
592,1.09344162873
593,1.08671595282
594,1.07589285137
595,1.06864187245
596,1.05855573701
597,1.05019113706
598,1.03904940432
599,1.02769795516
600,1.0220021314
601,1.0118076526
602,1.00400976903
603,1.00028830467
604,1.00045632405
605,0.988801705091
606,0.982496055973
607,0.978692390425
608,0.973192615775
609,0.970466710206
610,0.966518804385
611,0.961478821357
612,0.957257074822
613,0.952272802276
614,0.949054317418
615,0.943378534999
616,0.935353729373
617,0.928329152546
618,0.925025184841
619,0.920422102596
620,0.907781522663
621,0.896713039709
622,0.886896090789
623,0.880213974382
624,0.865365962124
625,0.849456539262
626,0.837386072854
627,0.823953684395
628,0.807172822831
629,0.787043565521
630,0.77544800522
631,0.763409591887
632,0.744270902323
633,0.727353558745
634,0.711307702399
635,0.701498016056
636,0.687590344772
637,0.669158797946
638,0.65383317972
639,0.642226579057
640,0.634111218681
641,0.620601684376
642,0.609390832211
643,0.600098902754
644,0.589171632799
645,0.580758001278
646,0.575214531172
647,0.565677079889
648,0.554340611294
649,0.541544383437
650,0.531338280777
651,0.520138636788
652,0.510614727481
653,0.503385079396
654,0.495772195599
655,0.486898589726
656,0.478335761762
657,0.468258825709
658,0.45625813698
659,0.443692629789
660,0.4344047297
661,0.427271672845
662,0.420997842062
663,0.410226042448
664,0.400733395476
665,0.397047747062
666,0.388134535164
667,0.37792819458
668,0.368797608109
669,0.361970362137
670,0.354636447322
671,0.349625515494
672,0.342682805968
673,0.334865014946
674,0.328621438896
675,0.321618038947
676,0.310320718779
677,0.302794762839
678,0.296650980506
679,0.289768755688
680,0.283799650846
681,0.280870873362
682,0.274099029745
683,0.267837666555
684,0.258499208053
685,0.252876917383
686,0.247326122416
687,0.24130627382
688,0.235387065958
689,0.230065080553
690,0.223573213763
691,0.218722399291
692,0.213793736722
693,0.208540282213
694,0.203602725952
695,0.199042899543
696,0.193254401564
697,0.189489267257
698,0.184221837189
699,0.178736185288
700,0.174580269443
701,0.16983390753
702,0.165955850724
703,0.16081870703
704,0.157136503414
705,0.152856653833
706,0.149506441327
707,0.143630007887
708,0.14364999606
709,0.13692280673
710,0.133285841251
711,0.129718254171
712,0.127109448957
713,0.122912106316
714,0.119064542409
715,0.115600136876
716,0.112499485881
717,0.109731249503
718,0.107029426718
719,0.10334849363
720,0.100709272857
721,0.0982937795356
722,0.0953090153612
723,0.0931819690493
724,0.0909462353299
725,0.08858166764
726,0.0855616476724
727,0.0861860579567
728,0.0895572660304
729,0.0816203026626
730,0.0765870269509
731,0.0738429305939
732,0.0724687260782
733,0.0709414432785
734,0.0680239397144
735,0.0664864926959
736,0.0648386642326
737,0.0641645312712
738,0.0622084416865
739,0.0606001041647
740,0.0593322278782
741,0.0572113388518
742,0.0551860989673
743,0.0544279469623
744,0.0520694451992
745,0.0499972734412
746,0.0486421268366
747,0.047394820622
748,0.0467383842271
749,0.0455663855387
750,0.0439295683128
751,0.0424039793082
752,0.0412886535034
753,0.0403484286989
754,0.0389425385814
755,0.0383461631429
756,0.0376880327117
757,0.036001742016
758,0.0348280492912
759,0.0341758479876
760,0.0339850771489
761,0.0328735629256
762,0.0312443686223
763,0.0304762804974
764,0.0299412365426
765,0.0290086349029
766,0.0284139537429
767,0.0275934275843
768,0.0259633862624
769,0.0258978196884
770,0.0251276137751
771,0.02454055578
772,0.0235525515429
773,0.0228436773556
774,0.0225395605082
775,0.0222392552433
776,0.0208481877036
777,0.0209500989649
778,0.0205931208173
779,0.0203511824714
780,0.0202251314312
